	query	qid_WT	qid_ST	qid_LT
0	Alr Law	q06224934	q072217124	q092226099
1	Argentine barbecue	q062219244	q072222669	q092219185
2	Argentine tango	q062221837	q072225856	q092227648
3	Car rental	q06221714	q072228375	q09222467
4	Car shelter	q06223196	q072215005	q092223595
5	Corsican car rental	q06227960	q07229060	q09228067
7	Credit Mutuel Customer Space	q06227087	q07228103	q092229240
8	Employment update	q062212472	q072210803	q09225751
9	Energy	q06223278	q072215115	q092225077
11	Faro car rental	q062214361	q072213035	q09228072
12	Hoary teats	q06229906	q07224193	q092210937
13	Housing Tax 2022	q06225977	q072218445	q092227671
14	In the case of the	q06226763	q072210934	q09225884
15	Indochina War	q06227629	q07228694	q092229986
16	Meteorological Service of Canada	q06225142	q072217359	q092226374
17	National Police salary	q062224794	q072221916	q092218291
18	Potatoes	q062211672	q072221533	q092217832
20	Public Employment Exchange	q0622311	q072226712	q092232895
21	Sell your car	q06226133	q072218638	q092227893
22	Solar energy	q062216983	q07221160	q092233882
23	Solar panel kit	q062223766	q072220685	q092216777
24	Spring roll	q06222651	q072229498	q09223787
25	TV entertainment	q062218815	q072229845	q09224232
26	Taxation	q06229550	q07223729	q092210423
27	The Betting Bar	q06229553	q07223733	q092210431
28	Veal blanquette	q06229646	q07223839	q092210537
29	Veal roti	q06225808	q072218226	q092227390
30	algal warfare	q062213903	q072212539	q09221913
31	anti-virus	q062216105	q072299	q092229144
33	antivirus android	q06229480	q07223628	q092210327
34	assistance purchase electric car	q06223235	q072215052	q09225782
35	best electric car	q062214587	q072213299	q09228360
36	blois	q06226607	q07227561	q092228585
37	car battery	q062222431	q072219134	q092214911
38	car mg	q062215955	q072214897	q092210107
39	car rating	q062219826	q072223428	q092220034
40	car rental bets	q06227976	q07229082	q092230463
41	car rental dijon	q062223902	q072220854	q092216985
42	car rental meeting	q062217643	q072228416	q092216993
43	car seat cover	q062214009	q07225233	q09227644
47	car tyre	q06228534	q07229744	q092231229
48	carriage of motor vehicles	q062225017	q072222187	q092218624
49	cgos space agent	q062212882	q072211340	q09224741
50	chat video	q0622462	q072226926	q0922676
51	cned space entered	q062213148	q072211661	q09226588
52	colloidal silver	q0622118	q072226485	q092232659
53	comparator car hire	q0622699	q072227219	q09221023
54	conservation potato	q06223861	q072215877	q092224595
55	consumption electric car	q062213211	q072219750	q09226668
56	coronavirus	q062210106	q07224430	q092211205
57	coronavirus france	q06223885	q072215906	q092224633
58	direct energy	q062223061	q072219918	q092215823
59	download video facebook	q062218724	q072218602	q092236371
60	download video youtube	q062213402	q072211959	q09226899
61	edf customer space	q062220046	q072223707	q092220352
62	elderberry	q06228988	q07222714	q092231900
68	electric car	q062215940	q072214882	q0922219
70	electric car rental	q062217639	q07221901	q09222512
72	electric car without a licence	q06229341	q072210686	q092236774
73	employment	q06228549	q07229758	q09224962
91	employment and environment	q062220063	q072223728	q092220380
92	employment training	q062215022	q072213812	q09228886
93	energy	q062218308	q072213935	q092235768
94	energy cheque	q06223687	q072215673	q092224347
95	energy conservation certificate	q0622431	q0722504	q092233086
96	eni customer space	q062223247	q072220128	q092216084
97	find my training pole job	q062225030	q072222205	q092218643
98	free energy	q06227339	q072223771	q092220434
99	free subscriber space	q062223273	q072220147	q092216109
100	fuel tax	q06225974	q072218453	q092232018
101	horoscope bull	q062220476	q072224250	q092220994
102	hybrid car	q062212370	q07227142	q092214506
103	hydrogen-powered car	q062225184	q072222412	q09225666
104	lamb mice	q062212033	q07226726	q092213990
